182.28444	4.540574E-23
191.25359	2.2866018E-23
205.5415	1.0793559E-23
222.67227	5.724388E-24
237.39929	3.1561441E-24
257.18524	1.85648E-24
280.85962	1.0779599E-24
306.7133	6.6776025E-25
340.3527	4.0833578E-25
393.10547	2.4969755E-25
439.72623	1.8066994E-25
528.62244	1.2904357E-25
650.9367	9.9612456E-26
827.6345	7.891021E-26
1052.2972	6.843854E-26
1415.0602	6.332481E-26
1872.6562	6.1706604E-26
2438.8657	6.1706604E-26
3413.561	6.843854E-26
4627.227	7.789545E-26
6123.56	9.098414E-26
8234.561	1.1635024E-25
10985.005	1.4498618E-25
14890.641	1.8782322E-25
19864.297	2.5295042E-25
25459.49	3.1520616E-25
35634.402	4.4705955E-25
46408.688	6.0207624E-25
70935.29	9.974147E-25
